Category,Document Name,Parties,Agreement Date,Effective Date,Renewal Term,Notice To Terminate Renewal,Expiration Date,Governing Law,Exclusivity,Post-Termination Services,Exact_Law,Discrepancy,detailed_law
XpresspaGroupInc_20190401_10-K_EX-10.28_11599457_EX-10.28_Marketing Agreement.pdf,PRODUCT SALE AND MARKETING AGREEMENT,"['Calm.com, Inc.,', 'Each of Calm and XSPA may be referred to herein individually as a ""Party"" and collectively as the ""Parties"".', 'Calm', 'XpresSpa Group, Inc.', 'XSPA']","['12th day of November, 2018']",11-12-2018,"['Following the Initial Term, this Agreement shall automatically renew for successive terms of six (6) months (each a ""Renewal Term"", and together with the Initial Term, the ""Term"") unless written notice is given by either Party no later than thirty (30) days in advance of the expiration of the Initial Term or the applicable Renewal Term.']","['Following the Initial Term, this Agreement shall automatically renew for successive terms of six (6) months (each a ""Renewal Term"", and together with the Initial Term, the ""Term"") unless written notice is given by either Party no later than thirty (30) days in advance of the expiration of the Initial Term or the applicable Renewal Term.']",7/31/19,New York,"['Throughout the Term and for a period of six (6) months after the expiration or termination of this Agreement, neither XSPA nor any of its affiliates shall, directly or indirectly, sell, offer for sale, market or promote any digital meditation or digital sleep products (other than the Products), including online or in any Store in the Territory, without the express prior written consent of Calm.', 'Throughout the Term and for a period of six (6) months after the expiration or termination of this Agreement, neither Calm nor any of its affiliates shall, directly or indirectly, sell, offer for sale, market or promote any digital meditation or digital sleep products in any retail location located in an airport other than in collaboration with XSPA, without the express prior written consent of XSPA.']","[""Upon termination or expiration of this Agreement, Calm (at its sole expense) may engage a third party to audit XSPA's inventory of any and all Product Collateral then on hand at each Store and XSPA shall promptly return or dispose of such inventory as instructed by Calm at Calm's sole expense."", 'Throughout the Term and for a period of six (6) months after the expiration or termination of this Agreement, Calm shall have a right of first refusal to expand the rights and obligations described in this Agreement to any Stores outside the Territory (the ""ROFR"").', 'If any such insurance is on a ""claims made"" basis, XSPA shall maintain coverage thereunder for a period of at least two (2) years following the termination of this Agreement.', 'In addition, if Calm does not provide XSPA with instructions within twenty (20) days of the termination or expiration of this Agreement, XSPA shall be permitted to dispose of any inventory of any and all Product Collateral then on hand at each Store.']",Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5431761145591736}]"
ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement.pdf,COLOGUARD® PROMOTION AGREEMENT,"['Exact', 'Exact Sciences Corporation', 'Pfizer and Exact may each be referred to herein individually as a ""Party"" and collectively as the ""Parties"".', 'Pfizer', 'Pfizer Inc.']","['August 21, 2018']",8/21/18,[],[],12/31/21,New York,"['Subject to compliance by Pfizer with the terms of this Section 3.2(d), during the Term, Exact agrees (A) not to enter into any new binding arrangement with any media vendor for Advertising of the Product without the written consent of Pfizer, which consent shall not be unreasonably withheld, (B) not to meet with any advertising agency or media vendor to discuss any Advertising proposals for content development and creative direction of the Product, without providing Pfizer with a reasonable opportunity for a representative of Pfizer present and participate and (C) to promptly inform Pfizer if it enters into any arrangement with any advertising agency with respect to the Product.', 'Commencing on the Launch Date, Exact and its Affiliates hereby grant to Pfizer and its Affiliates, on an exclusive basis for the Co-Promote Field (except as to Exact and its Affiliates), and Pfizer accepts, the right and obligation to Promote and Detail the Product in the Territory during the Term jointly with Exact, in accordance with the terms and conditions of this Agreement, all Applicable Laws and the applicable Annual Marketing Plan.']","['Exact shall use commercially reasonable efforts to provide six (6) month notice prior to the expiry of the Term, or in the case of termination by Pfizer under Section 8.4, within the applicable notice period in advance of the effective date of such termination, that Exact intends for Pfizer to continue providing Advertising services for the Product pursuant to Section 3.2(d).', 'After the expiration of the Term or termination pursuant to Section 8.4 by either Party or Section 8.6 by Exact, based on cumulative Incremental Laboratory Services Revenue achieved during the Term or up to the termination date, Exact agrees to pay Pfizer the applicable royalty payment set forth below for twelve (12) consecutive Calendar Quarters following the expiration of the Term (the ""Tail Period""); provided, however, the Tail Period shall be reduced to the number of full Calendar Quarters completed during the Term if less than twelve (12) Calendar Quarters if either Party terminates the Agreement without cause pursuant to Section 8.4 or Exact terminates as a result of a Change of Control pursuant to Section 8.6.']",Contract Act,,"Generated clause based on: [{'label': 'LABEL_1', 'score': 0.5520395636558533}]"
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement.pdf,CO-PROMOTION AGREEMENT,"['Dova Pharmaceuticals, Inc.', 'Dova', 'Valeant Pharmaceuticals North America LLC', 'Valeant', 'Dova and Valeant are each referred to individually as a ""Party"" and together as the ""Parties"".']","['September 26, 2018']",9/26/18,[],[],9/26/22,[* * *],"['During the Term, subject to the terms and conditions of this Agreement, Dova hereby grants to Valeant the right, on a co-exclusive basis (solely with Dova and its Affiliates), to Detail and promote the Product in the Specialty in the Territory in the Field, and to conduct the Valeant Activities and the activities of the institutional account management team (pursuant to and subject to the terms of Section 4.1.5) for the Product in the Territory in the Field in accordance with the terms and conditions of this Agreement.']",[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_1', 'score': 0.532089352607727}]"
VnueInc_20150914_8-K_EX-10.1_9259571_EX-10.1_Promotion Agreement.pdf,PROMOTION AGREEMENT,"['Promoter', 'BookingEntertainment.com', 'VNUE, Inc.', 'VNUE']","['September 10, 2015']",09-10-2015,"['At any time prior to the end of the Term, the Parties may agree in writing to extend the Agreement for successive One (1) Year periods (the ""Renewal Terms"") under the same conditions set forth herein.']",[],09-10-2016,Nevada,[],[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_1', 'score': 0.6038261651992798}]"
SigaTechnologiesInc_20190603_8-K_EX-10.1_11695818_EX-10.1_Promotion Agreement.pdf,PROMOTION AGREEMENT,"['MMT', 'SIGA', 'SIGA and MMT are sometimes referred to individually as a ""Party"" and collectively as the ""Parties"". RECITALS', 'MERIDIAN MEDICAL TECHNOLOGIES, INC.', 'SIGA TECHNOLOGIES, INC.']","['May 31, 2019']",5/31/19,"['This Agreement shall be automatically renewed for successive three (3) year terms thereafter (each a ""Renewal Term"" and together with the Initial Term, the ""Term"") until and unless (i) either Party provides the other Party written notice of non-renewal no later than ninety (90) days prior the end of the Initial Term or any Renewal Term or (ii) earlier terminated as provided in this ARTICLE 11.']","['This Agreement shall be automatically renewed for successive three (3) year terms thereafter (each a ""Renewal Term"" and together with the Initial Term, the ""Term"") until and unless (i) either Party provides the other Party written notice of non-renewal no later than ninety (90) days prior the end of the Initial Term or any Renewal Term or (ii) earlier terminated as provided in this ARTICLE 11.']",5/31/24,New York,"['As of the Effective Date, there are no rights with respect to the Product or the SIGA Trademarks in the Territory granted by SIGA, in each case, to any Person or entity other than MMT;', 'Subject to the terms and conditions of this Agreement, SIGA hereby grants to MMT an exclusive right and license, with the right to grant sublicenses as permitted under Section 2.1(b), under the SIGA Intellectual Property solely to Promote the Product in the Field in the Territory.', 'The license granted by SIGA to MMT under this Section 2.1(a) will be exclusive even as to SIGA with respect to rights to Promote the Product in the Field in the Territory, except as set forth in Section 2.4 below.']","['Upon termination of this Agreement pursuant to this ARTICLE 11, for all Customer Contracts then in force in the Territory, MMT shall either (i) promptly exercise its rights to terminate such Customer Contracts pursuant to termination rights accruing from the occurrence of a termination of this Agreement or otherwise or (ii) upon timely written request of SIGA, use Commercially Reasonable Efforts to assign any Customer Contract identified in such notice then in force to SIGA.', 'Promoter will maintain a record of each Safety Report received, including relevant source documents, and a record of each Safety Report reported to SIGA for a minimum period of ten (10) years after the expiration or termination of this Agreement and, if requested, will provide these and any other information requested by SIGA.']",Contract Act,,"Generated clause based on: [{'label': 'LABEL_1', 'score': 0.6038261651992798}]"
HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement.pdf,WALABOT-HOME RESELLER AGREEMENT,"['Inde Living Holdings, Inc.', 'Reseller', 'Vayyar Imaging Ltd.', 'Vayyar and Reseller shall be referred to individually as ""Party"" and collectively as ""Parties"".', 'Supplier']",['31 day of July 2019'],7/31/19,"['Thereafter, this Agreement shall automatically be renewed for successive 1-year terms (each a ""Renewal Term"", and together with the Initial Term, the ""Term"").']","['Following the Initial Term, either Party may terminate this Agreement without cause upon written notice to the other Party of at least 3 months.']",7/31/20,New York,[],"[""In addition to the foregoing, if, at the time of termination of this Agreement, Reseller shall have additional Product units in its inventory and is able to sell them to Customers and/or End Users (including, without limitation, any Product units for which Reseller has or is obligated to pay the Supplier the purchase price therefor but which have not yet been delivered to the Reseller by Supplier, which Supplier hereby agrees to either deliver as otherwise contemplated by this Agreement as if it had not terminated or to refund the purchase price therefor), then the licenses and appointments described in Section 2 shall remain in effect with respect to such unsold Product units (and such Section 2 shall not terminate) until the earlier of (i) the date on which the last Product in Reseller's inventory is sold to a Customer and/or End User, or (ii) 1 year from the date of the termination of this Agreement.""]",Contract Act,,"Generated clause based on: [{'label': 'LABEL_1', 'score': 0.5528600811958313}]"
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement.pdf,LICENSE AND RESELLER AGREEMENT,"['EHAVE, INC.', 'COMPANION HEALTHCARE TECHNOLOGIES CORP', 'Ehave', 'CHT']","['October 30, 2018']",10/30/18,[],[],Perpetual,"Ontario, Canada","['Notwithstanding anything to the contrary contained herein, the exclusive appointment and license set out in Sections 2(a) and 2(b) shall become non-exclusive if: (i) at any time during the Term hereof, CHT breaches Section 2(d) as determined by arbitration in accordance with Section 19(c) or by a final non-appealable judgment of a court of competent jurisdiction; or (ii) at any time after November 1, 2010 CHT fails to achieve annual revenues of $500,000.', 'Subject to Section 2(e), the grant set out in Clause 2(b)(i) is exclusive such that Ehave shall not license any other Person to, nor may Ehave itself, license, sub-license the use of, or provide services similar to, the Ehave Companion Solution within the Field of Use anywhere in the Territory.', 'Subject to Section 2(e), the foregoing appointment is exclusive such that Ehave shall not appoint any other Person to, nor may Ehave itself, sell or resell the use of the Ehave Companion Solution within the Field of Use anywhere in the Territory.']","['Without limiting the provisions of Section 11, commencing on the delivery of any notice of termination of this Agreement, and continuing through the effective date of termination and for a period of sixty (60) Business Days thereafter (the ""Transition-out Period""), Ehave will, to the extent requested by CHT, provide to CHT (or at CHT\'s request to CHT\'s End User) such reasonable cooperation, assistance and services to facilitate the orderly wind down, transition and migration and transfer of the End User Data from Ehave to CHT (the ""Transition-out Services"").', ""Upon the termination of this Agreement for any reason, subject to and without limiting the provisions of Section 12: (i) the Parties shall implement the Transition-Out Services pursuant to Section 10(f); (ii) at the end of the Transition-out Period (or earlier upon CHT's request) Ehave shall terminate and invalidate any Authentication IDs associated with CHT and any of its End Users; (iii) Ehave shall, but not earlier than twenty (20) Business Days after the later of termination or expiration of this Agreement or the Transition-out Period, destroy any copies of the End User Data contained in the Ehave Companion Solution and certify in writing to CHT that it has done so; (iv) CHT shall pay to Ehave the full amount of all Royalties payable hereunder as of the date of termination, if any, whether already invoiced or not (including any amounts due as late payment charges), and any other monies owing to Ehave hereunder; and (v) each Party will return to the other Party, or at the other Party's written request, destroy, in a secure manner all Confidential Information of the other Party which is then in its possession or control and certify in writing that it has done so.""]",Contract Act,,"Generated clause based on: [{'label': 'LABEL_1', 'score': 0.5235133171081543}]"
IpassInc_20181203_8-K_EX-99.1_11445874_EX-99.1_Reseller Agreement.pdf,CHANNEL PARTNER RESELLER AGREEMENT,"['iPass', 'Channel Partner', 'IPASS INC.', 'Pareteum Corporation']",['04/25/2018'],4/25/18,"['The Agreement shall automatically renew for successive one (1) year terms (each a ""Renewal Term"") unless either party provides the other party written notification of its intent to terminate the Agreement no later than sixty (60) days prior to the end of the then applicable term.']","['The Agreement shall automatically renew for successive one (1) year terms (each a ""Renewal Term"") unless either party provides the other party written notification of its intent to terminate the Agreement no later than sixty (60) days prior to the end of the then applicable term.']",4/25/19,California,"['Channel Partner accepts iPass as the exclusive provider to Channel Partner for all services of the nature of the Services. In no event may Channel Partner resell or otherwise provide the Service to any third party for purposes of further ""down channel"" resale of the Services, absent iPass\' notice and consent.']",[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5513577461242676}]"
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement.pdf,EVENT SPONSORSHIP AGREEMENT,"['Newegg Inc.', 'Allied Esports International, Inc.', 'Newegg', 'Allied', 'Newegg and Allied are hereinafter referred to jointly as the ""Parties"" and each as a ""Party.""']","['February 1, 2019']",02-01-2019,[],[],1/31/24,California,"['Allied shall not endorse, or permit the marketing of any other company whose principal business is as an e-commerce provider at or in connection with the Arena.', ""Without limitation of the preceding sentence or any other provision of this Agreement, Allied shall identify and name Newegg as a Founding Partner, and as the exclusive Technology E-Commerce (or E-tail) Partner, of the Arena and in all of Allied's marketing materials in connection with the Arena where reasonably practicable."", ""In all of Allied's actions and publications (in all media and formats) in connection with the marketing and conducting of the Events, where possible and appropriate, Allied shall where reasonably practicable communicate that Newegg is the exclusive sponsor of the Arena for the technology e-commerce and online retailer categories.""]",[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5448935627937317}]"
EcoScienceSolutionsInc_20180406_8-K_EX-10.1_11135398_EX-10.1_Sponsorship Agreement.pdf,SPONSORSHIP AGREEMENT,"['Eco Science Solutions, Inc.', 'Sponsor', 'Fruit of Life Productions LLC', 'Promoter']","['1st day of April, 2018 (']",04-01-2018,[],[],4/30/18,Florida,[],[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5465021729469299}]"
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement.pdf,ODM SUPPLY AGREEMENT,"[""'the Customer'"", 'ORGANIC PREPARATIONS INC.', ""'the Manufacturer'"", 'AGAPE ATP INTERNATIONAL HOLDING LIMITED']",['15t h day of January 2018'],1/15/18,"['This agreement will be automatically renewed at the end of every ten (10) year term, with each subsequent term of renewal being for a ten (10) year term.']","['This agreement will be automatically renewed at the end of every ten (10) year term, with each subsequent term of renewal being for a ten (10) year term. A six (6) months notice must be given by either party of their intention to terminate relations due to any reason other than breach of this agreement.']",1/15/28,England,"['The Manufacturer hereby appoints the Customer to be the sole and exclusive agent for the promotion, sales, marketing, distribution and administration of the products listed in schedule A of this agreement based on minimum annual product purchase requirements as listed in Schedule B of this agreement.', 'The Manufacturer covenants not to sell any product listed in this agreement, or product name (as listed in schedule A of this agreement) to any other party without prior written consent of the Customer.', 'The Manufacturer grants exclusive rights to the Customer for the term of ten (10) years from the date of the signing of this agreement and for an indefinite period upon the customer fulfilling the minimum annual purchase requirement as listed in Schedule B. of this agreement.', 'The Manufacturer agrees to give the Customer exclusive rights to the marketing, promotion and sales of the new products should the Customer decide to take on the new products.']",[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_1', 'score': 0.5558207035064697}]"
FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement.pdf,Corporate Sponsorship Agreement,"['Freeze Tag Inc.', 'Company', 'Association', 'American Diabetes Association, Inc.']","['March 22, 2018']",3/14/18,[],[],3/14/20,Virginia,[],[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5380653738975525}]"
WestPharmaceuticalServicesInc_20200116_8-K_EX-10.1_11947529_EX-10.1_Supply Agreement.pdf,GLOBAL MASTER SUPPLY AGREEMENT,"['Buyer', 'on behalf of itself and the Buyer affiliates listed on Attachment C (each a ""Buyer Affiliate"" or ""West/A"" or collectively, ""Buyer Affiliates"").', 'ExxonMobil Chemical Company', 'Seller', 'on behalf of itself and in the interest of the ExxonMobil affiliates listed on Attachment B (each an ""ExxonMobil Selling Affiliate"" or ""EMCC/A"" or collectively, ""ExxonMobil Selling Affiliates""),', 'West Pharmaceutical Services, Inc.']","['January 10, 2020']",01-01-2019,[],[],12/31/23,Texas; Singapore; Belgium,[],[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5577753782272339}]"
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.pdf,TRADEMARK LICENSE AGREEMENT,"['Licensor', 'Licensee', 'Morgan Stanley Direct Lending Fund', 'Morgan Stanley Investment Management Inc.']","['[·] day of [·], 2019']",[]/[]/2019,[],[],perpetual,New York,[],[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5294632911682129}]"
NmfSlfIInc_20200115_10-12GA_EX-10.5_11946987_EX-10.5_Trademark License Agreement.pdf,TRADEMARK LICENSE AGREEMENT,"['the ""Licensee""', 'NMF Senior Loan Fund I, Inc.', 'New Mountain Capital, L.L.C.', 'the ""Licensor""', 'The Licensor and the Licensee are sometimes referred to herein separately as a ""party"" and collectively as the ""parties.""']","['[·], 2019']",[]/[]/2019,[],[],perpetual,New York,[],"['For twenty-four (24) months following termination of this Agreement, the Licensee shall specify on all public- facing materials in a prominent place and in prominent typeface that the Licensee is no longer operating under the Licensed Mark, is no longer associated with the Licensor, or such other notice as may be deemed necessary by the Licensor in its sole discretion in its prosecution, defense, and/or settlement of any Third Party Claim.']",Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5294632911682129}]"
PalmerSquareCapitalBdcInc_20200116_10-12GA_EX-10.6_11949289_EX-10.6_Trademark License Agreement.pdf,TRADEMARK LICENSE AGREEMENT,"['Palmer Square Capital Management LLC', 'the ""Licensor""', 'the ""Licensee""', 'Palmer Square Capital BDC Inc.']","['[ ] day of [ ], 2020']",[]/[]/2020,[],[],perpetual,New York,[],"['For twenty-four (24) months following termination of this Agreement, Licensee shall specify on all public-facing materials in a prominent place and in prominent typeface that Licensee is no longer operating under the Licensed Mark, is no longer associated with Licensor, or such other notice as may be deemed necessary by Licensor in its sole discretion in its prosecution, defense, and/or settlement of any Third Party Claim.']",Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5294632911682129}]"
PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement.pdf,GAS TRANSPORTATION AGREEMENT,"['MRD Operating LLC', 'PennTex North Louisiana Operating, LLC', 'Customer', 'Transporter', 'Hereinafter, Transporter and Customer may sometimes be referred to collectively as the ""Parties"" and individually as a ""Party']","['14t h day of April, 2015']",4/14/15,"['This Agreement shall commence on the Effective Date and continue in full force and effect until the end of the fifteenth (15th) Contract Year, and shall continue in full force and effect thereafter until terminated by either Party by providing thirty (30) calendar days\' prior written notice of termination to the other Party (such fifteen (15) Contract Year period, as may be further extended as provided herein is referred to as the ""Term"").']","['This Agreement shall commence on the Effective Date and continue in full force and effect until the end of the fifteenth (15th) Contract Year, and shall continue in full force and effect thereafter until terminated by either Party by providing thirty (30) calendar days\' prior written notice of termination to the other Party (such fifteen (15) Contract Year period, as may be further extended as provided herein is referred to as the ""Term"").']",12/31/30,Texas,"['AMI/MEA Agreement"" shall mean that certain Amended and Restated Area of Mutual Interest and Midstream Exclusivity Agreement dated April 14, 2015 among PennTex North Louisiana, LLC, Customer, PennTex NLA Holdings, LLC and MRD WHR LA Midstream LLC, as such agreement may be amended, supplemented or otherwise modified from time to time.<omitted>During the Term, subject to the terms of the AMI/MEA Agreement, Customer dedicates and commits to this Agreement, and shall deliver or cause to be delivered to the Transportation System for transportation hereunder, all of Customer\'s owned or controlled residue Gas delivered from any of the Plants.']",[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5421180129051208}]"
TcPipelinesLp_20160226_10-K_EX-99.12_9454048_EX-99.12_Transportation Agreement.pdf,TRANSPORTATION SERVICE AGREEMENT Contract Identification FT18150,"['Great Lakes Gas Transmission Limited Partnership', 'ANR PIPELINE COMPANY', 'Shipper', 'Transporter']","['December 14, 2015']",11-01-2016,[],[],10/31/17,Michigan,[],[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_1', 'score': 0.5639081001281738}]"
RangeResourcesLouisianaInc_20150417_8-K_EX-10.5_9045501_EX-10.5_Transportation Agreement.pdf,TRANSPORTATION SERVICES AGREEMENT,"['Shipper and Carrier may be referred to individually as a ""Party,"" or collectively as the ""Parties.""', 'Carrier', 'Shipper', 'MRD Operating LLC', 'PennTex North Louisiana Operating, LLC']","['14t h day of April, 2015']",4/14/15,"['This Agreement shall commence on the Effective Date and continue in full force and effect until the end of the fifteenth (15th) Contract Year, and shall continue in full force and effect thereafter until terminated by either Party by providing thirty (30) calendar days\' prior written notice of termination to the other Party (such fifteen (15) Contract Year period, as may be further extended as provided herein is referred to as the ""Term"").']","['This Agreement shall commence on the Effective Date and continue in full force and effect until the end of the fifteenth (15th) Contract Year, and shall continue in full force and effect thereafter until terminated by either Party by providing thirty (30) calendar days\' prior written notice of termination to the other Party (such fifteen (15) Contract Year period, as may be further extended as provided herein is referred to as the ""Term"").']",perpetual,Texas,[],[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5435031652450562}]"
ZtoExpressCaymanInc_20160930_F-1_EX-10.10_9752871_EX-10.10_Transportation Agreement.pdf,Road Transportation Agreement,"['Party A (Shipper): ZTO Express Co., Ltd.', 'Party B (Carrier): Tonglu Tongze Logistics Ltd.']","['December 22, 2014']",12/22/14,[],[],perpetual,People's Republic of China,[],[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.548001766204834}]"
AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding Agreement_ Marketing Agreement_ Investment Distribution Agreement.pdf,"CO-BRANDING, MARKETING AND DISTRIBUTION AGREEMENT","['ACSI', 'Audible Inc.', 'Amazon.com Commerce Services, Inc.', 'Company', 'ACSI and Company are sometimes referred to collectively herein as the ""Parties"" and individually as a ""Party.""']","['January 30, 2000']",1/30/00,[],[],1/30/03,Washington,"[""The Parties will issue a joint press release promptly upon concluding Advertising. this Agreement, which press release shall be subject to the Party's mutual approval, which shall in any event state that Company is the exclusive provider on the ACSI Site of premium spoken-word audio product for download or streaming over the world wide web."", 'During the Term, [***], ACSI will not offer or sell through the ACSI Site, or authorize any third party to sell through the ACSI Site, any Exclusive Spoken-Word Audio Products; [***].']","[""Upon any termination or expiration of the Term the Parties will cooperate in good faith to promote a smooth customer transition, and in any event, Company will, at ACSI's option, continue to operate the Mirror Company Site and offer Spoken-Word Audio Products through the Spoken-Word Audio Sub-Section in accordance with the terms of this Agreement for a period of up to six (6) months following such termination.""]",Contract Act,,"Generated clause based on: [{'label': 'LABEL_1', 'score': 0.5548886656761169}]"
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.pdf,CO-BRANDING AND ADVERTISING AGREEMENT,"['2THEMART.COM, INC.', '2TheMart', 'i-Escrow', 'I-ESCROW, INC.']","['June 21, 1999']",6/21/99,"['In the event that either party does not give such notice, the term of this Agreement shall be automatically renewed for another one (1) year.', 'A party wishing to renew this Agreement shall give the other party notice thereof no less than thirty (30) days before the expiration of the term then in effect.']","['In the event that either party does not give such notice, the term of this Agreement shall be automatically renewed for another one (1) year.', 'A party wishing to renew this Agreement shall give the other party notice thereof no less than thirty (30) days before the expiration of the term then in effect.']",6/21/00,California,[],"['Notwithstanding the foregoing, unless this Agreement was terminated for a material breach, all provisions of this Agreement shall survive to the extent necessary for i-Escrow to complete any Customer transactions which are pending at the time of expiration or termination.']",Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.546324610710144}]"
EmbarkComInc_19991008_S-1A_EX-10.10_6487661_EX-10.10_Co-Branding Agreement.pdf,CO-BRANDING AGREEMENT,"['Sponsor', 'Snap Technologies, Inc.', 'United Airlines, Inc.', 'Snap']","['June 8, 1999']",06-08-1999,[],[],12/31/00,California,"['During the Term, Snap will not grant any third party any right to sponsor any products or services in the Exclusive Category on or through the Snap Web Site.', 'For the avoidance of doubt, the parties acknowledge that the foregoing restriction applies only to persistent sponsorship placement as judged by Sponsor at its discretion, and not to run-of-site banner advertisements or other rotating promotional placements.']",[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5417851805686951}]"
HealthcentralCom_19991108_S-1A_EX-10.27_6623292_EX-10.27_Co-Branding Agreement.pdf,CO-BRANDING CONTENT AGREEMENT,"['HEALTHCENTRAL.COM INC.', 'MEDIALINX INTERACTIVE, L.P.', 'MLX', 'HCI']",['30th day of June 1999'],09-01-1999,[],[],09-01-2001,"Ontario, Canada","['HCI shall not either directly or indirectly license or deliver content to or carry on or be engaged with any other Canadian portal web site, being a Web site which aggregates and markets a variety of content directed to multiple communities of interest and which offers products,\n\nSource: HEALTHCENTRAL COM, S-1/A, 11/8/1999\n\n\n\n\n\ntools and services to a broad base of Canadian end users.', 'During the Term of the Agreement, and subject to the following requirements respecting Canadian content levels as set out in paragraphs 3(f), (g) and (h), HCI shall be the exclusive health content partner in the health section of the Sympatico web site, provided however, that nothing contained herein shall prevent MediaLinx from entering into an agreement with other parties for: i) a health based web directory; or ii) other health related content whose content does not compete with the content contained on the Co-Branded Site; which in no event shall receive no more than one fifth (1/5th) of the promotion and which shall constitute no more than one fifth (1/5th) of the total health related content which resides on the home page of the Sympatico Health section.', 'If, at any time during the Term of this Agreement, HCI fails to meet the content requirements set out in paragraphs 3(f), (g) and (h), HCI shall no longer be entitled to be the exclusive health content partner in the health section of the Sympatico web site.']",[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5364525318145752}]"
ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement.pdf,CO-BRANDING AGREEMENT,"['Impresse Corporation', 'VerticalNet, Inc.', 'VerticalNet', 'Impresse']","['March 3, 2000']",03-03-2000,[],[],06-03-2001,Delaware,[],"[""During the term of this Agreement and for one year thereafter, VerticalNet shall have the right to appoint a certified public accountant to audit Impresse's financial records relating to such payment to verify the accuracy of Impresse's financial records in order to verify the amount of the payments owed and/or paid hereunder, but no more frequently than once per year.""]",Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5417851805686951}]"
LeadersonlineInc_20000427_S-1A_EX-10.8_4991089_EX-10.8_Co-Branding Agreement.pdf,CO-BRANDING AGREEMENT,"['VerticalNet', 'LeadersOnline', 'VerticalNet, Inc.', '(each a ""Party"" and together the ""Parties"").', 'LeadersOnline, Inc.']","['March 15, 2000']",3/15/00,"['LeadersOnline shall have the option, subject to VerticalNet\'s approval exercised in its sole  and absolute discretion, to extend the Term of this Agreement for an additional 12 months (a ""Renewal Term"") on such terms and conditions as may be mutually agreed upon by the Parties.']",[],6/15/01,Pennsylvania,[],[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5417851805686951}]"
